Fallnummer;Fallbeschreibung;Rechtsprechung
2 AZR 213/23;Die Klägerin beantragte Prozesskostenhilfe unter Beiordnung ihres Prozessbevollmächtigten für eine Klage gegen ihre Arbeitgeberin ua. auf Zahlung von Annahmeverzugsentgelt. Der Rechtsstreit endete aufgrund eines durch Beschluss gemäß § 278 Abs. 6 ZPO festgestellten Vergleichs der Parteien, in dem sich die Arbeitgeberin auch zur Zahlung des Annahmeverzugsentgelts verpflichtete. Das Arbeitsgericht hat den Prozesskostenhilfeantrag mit der Begründung zurückgewiesen, unter Berücksichtigung des Anspruchs auf Prozesskostenvorschuss der Klägerin gegen ihren Ehemann sei Prozesskostenhilfe nach § 115 Abs. 4 ZPO nicht zu bewilligen. Der dagegen gerichteten sofortigen Beschwerde der Klägerin hat es nicht abgeholfen. Das Landesarbeitsgericht hat den Beschluss des Arbeitsgerichts teilweise abgeändert und ihr für den auf Zahlung von Annahmeverzugsentgelt gerichteten Klageantrag Prozesskostenhilfe ohne Ratenzahlung unter Beiordnung ihres Prozessbevollmächtigten bewilligt. Hiergegen wendet sich die Landeskasse Berlin mit ihrer vom Landesarbeitsgericht zugelassenen Rechtsbeschwerde. Die Parteien streiten über den Zeitpunkt, zu dem das zwischen ihnen bestehende Arbeitsverhältnis durch eine Kündigung des Beklagten aufgelöst worden ist. Die Parteien vereinbarten in ihrem Arbeitsvertrag eine Kündigungsfrist von einem Vierteljahr zum Quartalsende. Der Beklagte kündigte das Arbeitsverhältnis ordentlich zum 31. Dezember 2021. Das Kündigungsschreiben vom 28. September 2021 wurde am 30. September 2021 von einem Bediensteten der Deutschen Post AG in den Hausbriefkasten der Klägerin eingeworfen. Die Klägerin hat gemeint, das Arbeitsverhältnis habe erst mit Ablauf des 31. März 2022 geendet. Sie bestreite einen Einwurf des Schreibens in ihren Hausbriefkasten zu den üblichen Postzustellungszeiten. Mit einer Entnahme am selben Tag sei deshalb nicht zu rechnen gewesen, sodass der Zugang erst am 1. Oktober 2021 erfolgt sei. Die Klägerin hat beantragt festzustellen, dass das zwischen den Parteien bestehende Arbeitsverhältnis durch die Kündigung des Beklagten vom 28. September 2021 nicht zum 31. Dezember 2021, sondern erst zum 31. März 2022 aufgelöst wird. Der Beklagte hat Klageabweisung beantragt und gemeint, die ortsüblichen Postzustellungszeiten würden gerade durch das Zustellverhalten der Bediensteten der Deutschen Post AG geprägt. Für einen Zugang außerhalb der üblichen Zeiten gebe es keinen Anhaltspunkt. Das Arbeitsgericht hat die Klage abgewiesen. Das Landesarbeitsgericht hat die Berufung der Klägerin zurückgewiesen. Mit ihrer Revision verfolgt die Klägerin ihren Klageantrag weiter.;
2 AZR 156/23;Die Parteien streiten vorrangig darüber, ob der Rechtsstreit durch einen Prozessvergleich beendet ist. Der Beklagte ist der Insolvenzverwalter über das Vermögen der N GmbH & Co. KG. Die Klägerin war bei dieser beschäftigt. Mit Schreiben vom 27. Februar 2020 kündigte die Arbeitgeberin das Arbeitsverhältnis zum 31. März 2020. Dagegen hat sich die Klägerin mit der vorliegenden Klage gewandt. In der Güteverhandlung am 25. Mai 2020, in der für die Arbeitgeberin nur deren Prozessbevollmächtigte anwesend war, ist zur Erledigung des Rechtsstreits ein Vergleich geschlossen worden. Danach bestand Einigkeit, dass das Arbeitsverhältnis durch die Kündigung beendet worden sei. Für den Verlust des Arbeitsplatzes sollte die Klägerin eine Abfindung iHv. 9.500,00 Euro brutto erhalten. Von der allein der Arbeitgeberin vorbehaltenen Widerrufsmöglichkeit bis zum 2. Juni 2020 machte diese keinen Gebrauch.;
2 AZR 325/22;Der Kläger wendet sich gegen ordentliche Kündigungen beider Beklagten, die diese unter Berufung auf betriebsbedingte Gründe ausgesprochen haben. Der Kläger arbeitete seit November 2018 bei der Beklagten zu 1., einem Luftverkehrsunternehmen im Ryanair-Konzern mit Sitz in Österreich. Er war zuletzt als Flugkapitän tätig und an der Basis Düsseldorf stationiert, wo sein Arbeitstag begann und endete. Die Einsatzplanung der Beklagten zu 1. wurde von einem externen Dienstleister in Polen vorgenommen, verschiedene Funktionsträger der Beklagten zu 1. hatten ihren Arbeitsort in Österreich, wo auch alle wesentlichen Personalentscheidungen getroffen wurden. Die Beklagte zu 1. betrieb mindestens 24 in Österreich registrierte Flugzeuge, die von vier Basen in Wien, Düsseldorf, Palma und Stuttgart aus eingesetzt wurden. In Düsseldorf waren sieben wechselnde Flugzeuge stationiert, und die Beklagte zu 1. hatte dort ua. Crew- und Schulungsräume angemietet. Der Kläger stimmte am 7. Juli 2020 einem sog. Eckpunktepapier zu, das neue arbeitsvertragliche Regelungen und insbesondere eine Vereinbarung deutschen Arbeitsrechts enthielt. Außerhalb der deutschen Basen beschäftigte die Beklagte zu 1. keine Mitarbeiter, mit denen die Anwendung deutschen Arbeitsrechts vereinbart war.;
2 AZR 313/22;Orientierungssatz;"1. Eine ""Stationierung"" von Luftfahrzeugen im Inland liegt bereits dann vor, wenn eine bestimmte Anzahl von Flugzeugen mit der Besatzung (""Flugzeugkontingent"") einem bestimmten inländischen Flughafen fest zugeordnet ist. Ohne Bedeutung ist es, ob ein konkretes Luftfahrzeug einem Flughafen zugeordnet ist.(Rn.11) 2. Für das Bestehen eines Luftverkehrsbetriebs iSd. § 24 Abs 2 KSchG ist es nicht erforderlich, dass die Luftfahrzeuge eine inländische Registrierung aufweisen.(Rn.12)"
9 AZR 76/22;Die Parteien streiten über die Verpflichtung der Beklagten, dem Kläger Urlaub aus dem Jahr 2020 nachzugewähren, und in diesem Zusammenhang darüber, ob die Anordnung häuslicher Quarantäne für Zeiträume, für die bereits Urlaub bewilligt war, der Erfüllung dieser Urlaubsansprüche entgegensteht. Der Kläger ist seit dem 24. November 1993 bei der Beklagten als Schlosser beschäftigt. Die Beklagte bewilligte dem Kläger auf seinen Antrag acht Tage Erholungsurlaub für die Zeit vom 12. bis zum 21. Oktober 2020. Am 14. Oktober 2020 ordnete die Stadt Hagen die Absonderung des Klägers in häusliche Quarantäne für die Zeit vom 9. bis zum 21. Oktober 2020 mit der Begründung an, er habe Kontakt zu einer mit dem Coronavirus SARS-CoV-2 infizierten Person gehabt. In diesem Zeitraum durfte der Kläger seine Wohnung nicht verlassen und musste den Empfang von Besuchen sowie den Kontakt zu Mitbewohnern und Angehörigen auf das Notwendigste beschränken. Während der verhängten Quarantäne war der Kläger selbst nicht arbeitsunfähig erkrankt.;
6 AZR 152/22;Die Klägerin war seit dem Jahr 2012 bei der Luftfahrtgesellschaft Walter mbH (im Folgenden Schuldnerin), die ca. 348 Arbeitnehmer beschäftigte, als Flugkapitänin tätig. Am 30. Juni 2020 beschloss die Schuldnerin die Einstellung des Geschäftsbetriebs mit sofortiger Wirkung. Zuvor hatte sie mit Schreiben vom 15. Juni 2020 das Konsultationsverfahren nach § 17 Abs. 2 Kündigungsschutzgesetz (KSchG), der Norm, durch die Art. 2 MERL in das nationale Recht umgesetzt worden ist, mit der Personalvertretung der Flugkapitäne im Hinblick auf Entlassungen dieser Arbeitnehmer eingeleitet. Mit Beschluss vom 1. Juli 2020 eröffnete das Insolvenzgericht das Insolvenzverfahren über das Vermögen der Schuldnerin. Der Beklagte trat als vom Gericht bestellter Insolvenzverwalter kraft Amtes in die Arbeitgeberstellung ein und übt für die Dauer des Insolvenzverfahrens die Funktion des Arbeitgebers aus.;
6 AZR 155/23;A. Die Parteien streiten darüber, ob die Beklagte verpflichtet ist, für den Kläger die Arbeitnehmeranteile zur gesetzlichen Rentenversicherung zu übernehmen. Der 1962 geborene Kläger ist seit dem Jahr 2008 bei der Beklagten als Gymnasiallehrer tätig. Auf das Arbeitsverhältnis finden die Grundordnung des kirchlichen Dienstes sowie das Arbeitsvertragsrecht der bayerischen Diözesen (ABD) einschließlich der in dessen Teil B enthaltenen Sonderregelungen für Beschäftigte als Lehrkräfte an Schulen in kirchlicher Trägerschaft (iF SR-L) in ihrer jeweiligen Fassung Anwendung. Zwischen den Parteien ist streitig, ob die in Teil B, 4.1.1 Nr. 6 Abs. 7 SR-L enthaltene Regelung, wonach der Schulträger bei Lehrkräften die Arbeitnehmerbeiträge zur gesetzlichen Rentenversicherung gemäß § 168 SGB VI übernimmt, wenn die dort genannten Voraussetzungen vorliegen, wozu ua. die Vollendung maximal des 45. Lebensjahrs gehört, als altersdiskriminierende Regelung unwirksam ist.;
1 AZR 70/02;Leitsatz;
10 AZR 376/21;Die Parteien streiten über die Höhe tariflicher Nachtarbeitszuschläge. Der Kläger leistete im streitgegenständlichen Zeitraum Nachtarbeit im Rahmen von Wechselschichtarbeit bei der Beklagten, einem Unternehmen der Ernährungsindustrie. Für das Arbeitsverhältnis gilt kraft beiderseitiger Tarifgebundenheit der Manteltarifvertrag für die Arbeitnehmer der obst-, gemüse- und kartoffelverarbeitenden Industrie, Essigindustrie, Senfindustrie Nordrhein-Westfalen vom 8. Dezember 2004 (MTV). Der Kläger verrichtete in den Monaten Januar bis Juni 2019 sowie August und September 2019 Nachtarbeit in Wechselschicht in der Zeit von 22:00 Uhr bis 06:00 Uhr, für die er einen Zuschlag von 25 % des Stundenentgelts erhielt. Mit seiner Klage begehrt der Kläger - nach erfolgloser außergerichtlicher Geltendmachung - für die geleistete Nachtarbeit die Zahlung weiterer Nachtarbeitszuschläge in Höhe der Differenz zwischen dem gezahlten tariflichen Zuschlag für Schichtarbeit zwischen 22:00 Uhr und 06:00 Uhr in Höhe von 25 % und dem tariflichen Zuschlag für Nachtarbeit in Höhe von 50 %.;
10 AZR 600/20;Aussetzung nach § 148 Abs.1 ZPO möglich? Die Revision des Klägers ist weit überwiegend begründet. Der Kläger hat für den streitgegenständlichen Zeitraum entgegen der Auffassung des Landesarbeitsgerichts für die während der Nachtschichten geleisteten Arbeitsstunden Anspruch auf einen höheren Nachtarbeitszuschlag. Dies führt zur Aufhebung der Entscheidung des Landesarbeitsgerichts (§ 562 Abs. 1 ZPO). Die Klage ist - mit Ausnahme zweier Zinstermine - begründet, was der Senat selbst entscheiden kann (§ 563 Abs. 3 ZPO).;
